step 1 accepted True metropolis_acceptance 1 min_1_r na mover PathSimulatorMover cv [0.0840118,1.40051]
step 2 accepted True metropolis_acceptance 1.00001 min_1_r na mover PathSimulatorMover cv [0.0836434,1.40294]
step 3 accepted True metropolis_acceptance 1.00041 min_1_r na mover PathSimulatorMover cv [0.0687862,1.39991]
step 4 accepted True metropolis_acceptance 1.00009 min_1_r na mover PathSimulatorMover cv [0.0911397,1.40176]
step 5 accepted True metropolis_acceptance 0.999937 min_1_r na mover PathSimulatorMover cv [0.087331,1.39671]
step 6 accepted True metropolis_acceptance 1.00003 min_1_r na mover PathSimulatorMover cv [0.0874958,1.39482]
step 7 accepted True metropolis_acceptance 0.999998 min_1_r na mover PathSimulatorMover cv [0.0873616,1.39481]
step 8 accepted True metropolis_acceptance 0.999985 min_1_r na mover PathSimulatorMover cv [0.0875382,1.39634]
step 9 accepted True metropolis_acceptance 1.00167 min_1_r na mover PathSimulatorMover cv [0.114574,1.40549]
step 10 accepted True metropolis_acceptance 1.00745 min_1_r na mover PathSimulatorMover cv [0.0680933,1.46631]
step 11 accepted True metropolis_acceptance 0.993022 min_1_r na mover PathSimulatorMover cv [0.0836124,1.39907]
step 12 accepted True metropolis_acceptance 0.999943 min_1_r na mover PathSimulatorMover cv [0.0837944,1.40254]
step 13 accepted True metropolis_acceptance 1.30303 min_1_r na mover PathSimulatorMover cv [0.470259,1.39586]
step 14 accepted True metropolis_acceptance 0.797752 min_1_r na mover PathSimulatorMover cv [0.119646,1.39661]
step 15 accepted True metropolis_acceptance 1.00002 min_1_r na mover PathSimulatorMover cv [0.120152,1.39648]
step 16 accepted True metropolis_acceptance 0.999997 min_1_r na mover PathSimulatorMover cv [0.120131,1.39659]
step 17 accepted True metropolis_acceptance 1.10669 min_1_r na mover PathSimulatorMover cv [0.338072,1.32212]
step 18 accepted True metropolis_acceptance 0.915252 min_1_r na mover PathSimulatorMover cv [0.0937532,1.40595]
step 19 accepted True metropolis_acceptance 0.999529 min_1_r na mover PathSimulatorMover cv [0.100148,1.40846]
step 20 accepted True metropolis_acceptance 1.00306 min_1_r na mover PathSimulatorMover cv [0.0744178,1.3878]
