epoch,rollout,ligand_rmsd,contacts,pocket_dist,hbonds,raw_reward,z_reward,loss
1,1,47.256,32.61,7.631,0,-1.8217,-0.8513,6.4674
1,2,37.652,56.61,1.817,2,0.2002,1.7043,-8.2089
1,3,45.852,47.82,10.602,2,-1.4400,-0.3688,2.8014
1,4,39.807,44.63,13.263,2,-1.5312,-0.4842,3.6712
2,1,45.034,40.77,13.512,0,-1.9723,-0.2561,1.9453
2,2,48.400,36.05,18.802,3,-2.8582,-1.4030,10.6774
2,3,45.459,39.42,8.570,2,-1.5531,0.2866,-1.3863
2,4,42.492,43.91,3.459,0,-0.7142,1.3725,-6.6262
3,1,44.764,38.33,1.317,2,-0.8368,1.5854,-7.6577
3,2,50.051,35.50,7.841,0,-1.8665,-1.1804,8.9702
3,3,42.308,46.13,12.046,3,-1.4749,-0.1286,0.9754
3,4,40.980,50.93,15.181,0,-1.5300,-0.2764,2.0996
4,1,42.914,41.97,12.330,1,-1.6999,1.4794,-7.1405
4,2,49.110,31.81,11.608,1,-2.3438,-0.3545,2.6932
4,3,45.949,34.56,12.468,1,-2.1621,0.1631,-0.7906
4,4,47.935,41.83,19.481,1,-2.6716,-1.2880,9.7827
5,1,39.793,39.86,16.110,0,-2.0064,-0.6504,4.9382
5,2,46.143,35.94,13.710,2,-2.2406,-1.2839,9.7424
5,3,42.312,43.73,9.793,1,-1.3457,1.1370,-5.5448
5,4,40.668,37.50,9.378,1,-1.4712,0.7973,-3.9145
6,1,45.131,27.68,11.751,0,-2.3246,-0.7250,5.5024
6,2,45.267,34.93,7.693,0,-1.6353,1.7190,-8.3245
6,3,46.440,46.38,17.617,2,-2.2287,-0.3848,2.9224
6,4,45.478,35.50,14.379,0,-2.2920,-0.6092,4.6275
7,1,45.751,36.32,4.511,0,-1.2860,0.4879,-2.3495
7,2,43.564,40.24,12.087,2,-1.7775,-1.2715,9.6550
7,3,39.051,43.98,8.517,1,-1.0450,1.3505,-6.5622
7,4,41.589,42.71,12.095,1,-1.5806,-0.5668,4.3051
8,1,39.937,45.35,8.583,0,-1.0412,0.3236,-1.5651
8,2,34.652,56.60,8.727,0,-0.3411,1.2390,-5.9988
8,3,49.370,29.57,11.775,0,-2.4632,-1.5360,11.6570
8,4,46.404,43.25,7.187,2,-1.3089,-0.0265,0.2015
9,1,46.149,40.27,8.659,1,-1.5626,-0.2456,1.8645
9,2,46.811,27.28,9.519,0,-2.2012,-1.5340,11.6449
9,3,39.478,51.15,10.908,2,-1.0186,0.8517,-4.1581
9,4,36.641,35.02,5.498,0,-0.9808,0.9280,-4.4873
10,1,44.901,34.39,5.326,1,-1.4020,0.5080,-2.4697
10,2,42.297,43.99,8.482,2,-1.2035,0.9508,-4.5851
10,3,45.858,46.74,19.558,1,-2.3791,-1.6712,12.6741
10,4,40.195,42.78,12.357,0,-1.5345,0.2125,-1.0123
11,1,37.965,42.96,2.618,1,-0.4416,1.6179,-7.8228
11,2,49.354,36.78,13.500,0,-2.3466,-1.1083,8.4093
11,3,45.703,38.03,9.090,1,-1.6730,-0.1444,1.0962
11,4,42.895,45.70,15.105,0,-1.8273,-0.3652,2.7712
12,1,41.583,41.97,9.802,2,-1.3805,0.4681,-2.2723
12,2,42.338,49.83,9.341,0,-1.0579,1.2721,-6.1475
12,3,42.395,39.77,11.601,1,-1.6890,-0.3006,2.2834
12,4,45.280,36.96,13.604,3,-2.1460,-1.4396,10.9349
13,1,42.364,46.26,14.642,0,-1.7321,-1.0207,7.7542
13,2,45.672,46.80,8.930,3,-1.3045,0.3197,-1.5510
13,3,38.039,55.07,12.313,3,-0.9303,1.4929,-7.2388
13,4,47.199,36.84,7.728,0,-1.6591,-0.7920,5.9926
14,1,47.874,36.81,15.103,2,-2.4316,-1.2282,9.3299
14,2,46.965,47.36,14.900,3,-1.9439,-0.1443,1.0969
14,3,43.579,29.11,9.492,1,-1.9635,-0.1880,1.4278
14,4,45.075,41.27,5.737,1,-1.1768,1.5605,-7.5115
15,1,46.578,35.38,17.832,1,-2.6966,-0.5098,3.8730
15,2,51.929,36.06,18.990,2,-3.0532,-1.3853,10.5140
15,3,46.055,33.08,10.777,0,-2.0572,1.0602,-5.1045
15,4,44.111,31.52,12.044,1,-2.1489,0.8349,-4.0269
